F_1 (bot),F_2 (bot),F_1 (top),F_2 (top),elastic_energy,fracture_dissipation,undamaged_elastic_energy,external_work,"displacement 1 [0, 0.001, 0]","displacement 2 [0, 0.001, 0]","displacement 1 [0.0005, 0.00049, 0]","displacement 2 [0.0005, 0.00049, 0]","displacement 1 [0.0005, 0.00051, 0]","displacement 2 [0.0005, 0.00051, 0]"
2814.72046895135,-733464.6674383499,2655.76189932664,731522.6839455379,1.7236908236269797,0.13592227065925078,5.234160152760867,3.463603649246462,1.084797828924046e-08,4.718051313174909e-06,-1.0861412303528686e-06,1.373032716221667e-06,-1.0678160230724945e-06,3.335775654379116e-06
2795.479508874266,-725186.4940711416,2636.6471754614995,723219.8930581899,1.6928329806940499,0.1438238517007116,5.71530674154145,3.4013153994524705,1.2489865012346483e-08,4.68652604890515e-06,-1.0773518400108793e-06,1.3323799219942761e-06,-1.0559537142627727e-06,3.3453818448538892e-06
2831.4667723501425,-730405.3562846478,2669.006530580198,728373.5917837409,1.7273283951957241,0.15384476322076499,6.636734352226451,3.470130511430786,9.815889342157254e-09,4.7479105160253385e-06,-1.0840471831161827e-06,1.3128616515549854e-06,-1.0692890932157126e-06,3.42854887671495e-06
2863.543996392731,-734961.426038108,2697.947368267449,732868.4461282304,1.7582698961391636,0.1631421026940785,7.5670027670430775,3.531794759241968,7.849268902003585e-09,4.8030484112806e-06,-1.0892687141781167e-06,1.295524873582045e-06,-1.0794107874373318e-06,3.502489978764252e-06
2881.03224128104,-736621.2584307549,2713.8227681471762,734479.2287932683,1.7735757394747744,0.17051564337854316,8.332507659815143,3.562153573933062,9.530934779028399e-09,4.83397783885837e-06,-1.0913741505161938e-06,1.2787766301729271e-06,-1.0790485263021464e-06,3.5498785931200244e-06
2869.257122907567,-731152.2515916171,2702.2962719525067,728986.6353705005,1.7537650176213482,0.1770234882619703,8.890691896447432,3.522003332432696,1.1247993268744202e-08,4.815767915653119e-06,-1.082829750539318e-06,1.2525232568395453e-06,-1.068351717473321e-06,3.5575279575242057e-06
2853.9088362809202,-724314.182731359,2687.3747259386555,722121.9709334312,1.728759416844045,0.18475738221589125,9.601411926703733,3.471371847257096,1.313854230589296e-08,4.791957378966332e-06,-1.0718311510412788e-06,1.2212306228908027e-06,-1.055913168867102e-06,3.5645556911744126e-06
2849.5124877131607,-718239.531361623,2682.6694009697308,715982.7553858944,1.7129930188283014,0.19799933880262582,10.904777876142864,3.438976681790411,1.7316256233745945e-08,4.788477818711859e-06,-1.0613172739063432e-06,1.1786146420968927e-06,-1.0408406431497965e-06,3.602680250892807e-06
2884.995615544007,-720060.9116610561,2716.0413187438785,717668.3677843626,1.7412925042187832,0.2177293360949665,13.136067493582571,3.4947142207842252,2.7484946536147854e-08,4.855362189494647e-06,-1.061631338813365e-06,1.136178115684997e-06,-1.028628595362136e-06,3.7095055676242635e-06
2819.846276674605,-697758.8254699949,2654.266163210711,695335.8235201566,1.651539159802041,0.23488396270717538,14.239450266803441,3.3134823098738484,2.9053674884726408e-08,4.752370476140396e-06,-1.0250220670397676e-06,1.0659394109876453e-06,-9.91473105756919e-07,3.6768923318675444e-06
2787.4720957418763,-684667.1577538504,2622.8963650083924,682208.8862919902,1.6038802025679357,0.24886902653336937,15.505045334339268,3.216892103296387,2.4112487443943064e-08,4.7035557562483435e-06,-1.0007998447944405e-06,1.0184844250913229e-06,-9.759901214748961e-07,3.6769327115245286e-06
2793.763381378939,-682881.265030186,2628.3096516876567,680374.5699102044,1.6047411157190161,0.25811904642757805,16.760181371173573,3.2179924409061202,2.0870209578855416e-08,4.718439604051007e-06,-9.945051362674667e-07,9.98226478622677e-07,-9.753317184406838e-07,3.712868198893958e-06
